
 OVERVIEW
 
key,value
version,2.0
generator,glTF-Transform v4.2.1
extensionsUsed,none
extensionsRequired,none




 SCENES
 
#,name,rootName,bboxMin,bboxMax,renderVertexCount,uploadVertexCount,uploadNaiveVertexCount
10,mtl1,1,,OPAQUE,
11,mtl1,1,,OPAQUE,
12,mtl1,1,,OPAQUE,
13,mtl1,1,,OPAQUE,
14,mtl1,1,,OPAQUE,
15,mtl1,1,,OPAQUE,
16,mtl1,1,,OPAQUE,
17,mtl1,1,,OPAQUE,
18,mtl1,1,,OPAQUE,
19,mtl1,1,,OPAQUE,
20,mtl1,1,,OPAQUE,
21,mtl1,1,,OPAQUE,
22,mtl1,1,,OPAQUE,
23,mtl1,1,,OPAQUE,
24,mtl1,1,,OPAQUE,
25,mtl1,1,,OPAQUE,
26,mtl1,1,,OPAQUE,
27,mtl1,1,,OPAQUE,
28,mtl1,1,,OPAQUE,
29,mtl1,1,,OPAQUE,
30,mtl1,1,,OPAQUE,
31,mtl1,1,,OPAQUE,
32,mtl1,1,,OPAQUE,
33,mtl1,1,,OPAQUE,
34,mtl1,1,,OPAQUE,
35,mtl1,1,,OPAQUE,
36,mtl1,1,,OPAQUE,
37,mtl1,1,,OPAQUE,
38,mtl1,1,,OPAQUE,
39,mtl1,1,,OPAQUE,
40,mtl1,1,,OPAQUE,
41,mtl1,1,,OPAQUE,
